City_ID,City,Country,Max Temp,Lat,Lng,Humidity,Cloudiness,Wind Speed,Date
170,Santa Rosa De Aguan,HN,82.33,15.95,-85.7167,77,100,15.14,2022-09-18 02:00:32
171,Labelle,US,75.22,26.7617,-81.4384,94,100,5.01,2022-09-18 02:00:32
172,Kruisfontein,ZA,53.89,-34.0033,24.7314,92,100,5.64,2022-09-18 02:00:33
173,Cidreira,BR,60.93,-30.1811,-50.2056,78,43,20.76,2022-09-18 02:00:33
174,Karasburg,NA,51.93,-28.0167,18.75,54,100,6.69,2022-09-18 02:00:33
175,Pombas,CV,75.78,17.1503,-25.0201,76,43,11.41,2022-09-18 02:00:34
176,Fairbanks,US,54.99,64.8378,-147.7164,56,99,8.25,2022-09-18 02:00:34
177,Siocon,PH,86.05,7.7061,122.1353,67,62,3.85,2022-09-18 02:00:35
178,Buala,SB,86.36,-8.145,159.5921,66,100,6.42,2022-09-18 02:00:35
179,Bathsheba,BB,83.01,13.2167,-59.5167,89,75,12.66,2022-09-18 02:00:35
180,Saint-Hyacinthe,CA,61.83,45.6168,-72.9491,69,100,3.6,2022-09-18 01:58:17
181,Andahuaylas,PE,52.07,-13.6556,-73.3872,93,17,3.06,2022-09-18 02:00:37
182,Oistins,BB,82.49,13.0667,-59.5333,89,75,12.66,2022-09-18 02:00:37
183,Rorvik,NO,51.91,64.8621,11.2373,87,75,8.05,2022-09-18 02:00:38
184,Taltal,CL,56.3,-25.4,-70.4833,72,5,2.08,2022-09-18 02:00:29
185,Comodoro Rivadavia,AR,33.66,-45.8667,-67.5,60,0,3.44,2022-09-18 01:56:50
186,Clyde River,CA,32.23,70.4692,-68.5914,100,100,10.36,2022-09-18 02:01:38
187,Mortka,RU,52.84,59.3322,66.0214,55,100,12.91,2022-09-18 02:01:39
188,Kirs,RU,43.14,59.3388,52.2447,96,6,7.05,2022-09-18 02:01:39
189,Vangaindrano,MG,66.09,-23.35,47.6,92,99,4.25,2022-09-18 02:01:39
190,Copiapo,CL,51.49,-27.3667,-70.3333,72,0,1.16,2022-09-18 01:59:27
191,Kupang,ID,87.17,-10.1667,123.5833,50,87,3.89,2022-09-18 02:01:40
192,Evensk,RU,48.74,61.95,159.2333,41,0,6.87,2022-09-18 02:01:40
193,Vanimo,PG,86.29,-2.6741,141.3028,62,55,6.96,2022-09-18 02:01:41
194,Yinchuan,CN,72.99,38.4681,106.2731,32,100,5.5,2022-09-18 02:00:10
195,Nampula,MZ,60.51,-15.1165,39.2666,84,5,2.82,2022-09-18 02:00:22
196,Havoysund,NO,44.83,70.9963,24.6622,83,100,23.35,2022-09-18 02:01:41
197,Lakatoro,VU,83.21,-16.0999,167.4164,70,66,13.33,2022-09-18 02:01:42
198,Meulaboh,ID,77.31,4.1363,96.1285,85,100,7.16,2022-09-18 02:01:42
199,Neuquen,AR,47.98,-38.9516,-68.0591,62,100,22.84,2022-09-18 02:01:43
200,Tuktoyaktuk,CA,48.78,69.4541,-133.0374,68,73,14.52,2022-09-18 02:01:43
201,Vestmannaeyjar,IS,49.03,63.4427,-20.2734,84,29,21.14,2022-09-18 02:01:43
202,Kualakapuas,ID,86.81,-3.0091,114.3876,61,70,4.81,2022-09-18 02:01:44
203,Karratha,AU,82.74,-20.7377,116.8463,25,0,7.25,2022-09-18 02:01:44
204,Bhag,PK,83.34,29.0415,67.8239,60,0,8.01,2022-09-18 02:01:44
205,Mandalgovi,MN,45.16,45.7625,106.2708,42,89,13.22,2022-09-18 01:58:03
206,Benjamin Hill,MX,82.62,30.1667,-111.1,32,0,8.43,2022-09-18 02:01:45
207,Cabo San Lucas,MX,87.06,22.8909,-109.9124,82,63,12.86,2022-09-18 02:00:03
208,Noumea,NC,84.18,-22.2763,166.4572,61,0,9.22,2022-09-18 02:01:46
209,Bredasdorp,ZA,51.57,-34.5322,20.0403,82,100,0.85,2022-09-18 02:01:46
210,Paamiut,GL,43.43,61.994,-49.6678,99,85,2.35,2022-09-18 02:01:47
211,Atambua,ID,86.23,-9.1061,124.8925,45,44,3.31,2022-09-18 02:01:47
212,Muli,MV,81.45,2.9167,73.5667,67,85,3.78,2022-09-18 02:01:47
213,Grand Gaube,MU,70.38,-20.0064,57.6608,72,4,7.0,2022-09-18 02:01:48
214,Huicungo,PE,72.54,-7.2833,-76.8,82,18,2.8,2022-09-18 02:01:48
215,Riviere-Au-Renard,CA,55.63,48.9957,-64.3971,60,6,19.75,2022-09-18 02:01:49
216,Etchojoa,MX,89.28,26.9167,-109.6333,51,1,7.14,2022-09-18 02:01:49
217,La Asuncion,VE,81.23,11.0333,-63.8628,82,96,7.34,2022-09-18 02:01:49
218,Ancud,CL,42.22,-41.8697,-73.8203,77,85,4.9,2022-09-18 02:01:50
219,College,US,54.28,64.8569,-147.8028,54,99,8.77,2022-09-18 02:01:50
220,Avera,US,71.11,33.194,-82.5271,63,3,6.93,2022-09-18 02:01:50
221,Lufilufi,WS,85.78,-13.8745,-171.5986,74,100,18.86,2022-09-18 02:01:51
222,Wanaka,NZ,57.11,-44.7,169.15,43,97,7.0,2022-09-18 02:01:51
223,Bilma,NE,88.38,18.6853,12.9164,34,90,7.36,2022-09-18 02:01:52
224,Abastumani,GE,57.92,41.7075,42.8457,69,78,1.39,2022-09-18 02:01:52
225,Muros,ES,68.09,42.7762,-9.0603,76,100,6.38,2022-09-18 02:01:52
226,Whitianga,NZ,60.08,-36.8333,175.7,56,25,8.86,2022-09-18 01:57:43
227,Nuuk,GL,54.21,64.1835,-51.7216,71,75,2.3,2022-09-18 02:00:19
228,Gwadar,PK,79.9,25.1216,62.3254,82,62,8.16,2022-09-18 02:01:53
229,Baillif,GP,74.7,16.0202,-61.7463,81,100,20.09,2022-09-18 02:01:54
230,Kardymovo,RU,43.68,54.8902,32.4311,85,58,5.03,2022-09-18 02:01:54
231,Adrar,MR,82.2,20.5022,-10.0711,27,48,8.46,2022-09-18 02:01:54
232,Phulji,PK,81.95,26.8825,67.6807,71,0,3.91,2022-09-18 02:01:55
233,Pevek,RU,33.6,69.7008,170.3133,92,100,21.12,2022-09-18 02:02:55
234,Kaeo,NZ,60.35,-35.1,173.7833,58,76,8.43,2022-09-18 02:02:55
235,Qaanaaq,GL,26.51,77.484,-69.3632,57,0,7.56,2022-09-18 02:02:56
236,Georgetown,MY,78.73,5.4112,100.3354,92,40,8.05,2022-09-18 01:58:06
237,Grindsted,DK,52.14,55.754,8.9123,82,75,13.8,2022-09-18 02:02:57
238,Dera Bugti,PK,80.87,29.0307,69.151,58,0,3.58,2022-09-18 02:02:57
239,Vestmanna,FO,43.72,62.1564,-7.1664,93,75,1.14,2022-09-18 02:02:57
240,Talnakh,RU,42.21,69.4865,88.3972,97,100,11.41,2022-09-18 02:02:58
241,Cherskiy,RU,35.38,68.75,161.3,62,100,12.55,2022-09-18 02:02:58
242,Tura,IN,80.78,25.5198,90.2201,76,37,1.23,2022-09-18 02:02:58
243,Bonanza,NI,72.79,14.0289,-84.591,100,93,2.46,2022-09-18 02:02:59
244,Malibu,US,75.56,34.005,-118.8101,83,17,4.0,2022-09-18 02:02:59
245,Guerrero Negro,MX,69.87,27.9769,-114.0611,76,0,16.82,2022-09-18 02:03:00
246,Hithadhoo,MV,81.73,-0.6,73.0833,72,33,6.42,2022-09-18 02:03:01
247,Limbang,MY,86.11,4.75,115.0,62,85,0.51,2022-09-18 02:03:01
248,Esperance,AU,60.51,-33.8667,121.9,69,92,5.21,2022-09-18 02:03:01
249,Ulcinj,ME,64.98,41.9294,19.2244,70,8,12.77,2022-09-18 02:03:02
250,Nerchinskiy Zavod,RU,47.62,51.3088,119.61,61,100,16.53,2022-09-18 02:03:02
251,Tongren,CN,91.2,27.7172,109.1853,46,1,2.46,2022-09-18 02:03:03
252,Olinda,BR,76.73,-8.0089,-34.8553,78,40,9.22,2022-09-18 02:03:03
253,Skjervoy,NO,46.4,70.0311,20.9714,85,93,13.8,2022-09-18 02:03:03
254,Brewster,US,66.81,41.3973,-73.6171,91,8,3.78,2022-09-18 02:00:07
255,Saint George,US,86.63,37.1041,-113.5841,22,0,5.99,2022-09-18 02:00:02
256,Waipawa,NZ,56.91,-41.4122,175.5153,56,15,4.43,2022-09-18 02:03:04
257,Shanghai,CN,78.93,31.2222,121.4581,81,75,15.66,2022-09-18 02:00:03
258,Belyy Yar,RU,43.86,53.6039,91.3903,71,0,0.0,2022-09-18 02:03:05
259,Birjand,IR,61.18,32.8663,59.2211,35,0,6.33,2022-09-18 02:03:05
260,Ciudad Bolivar,VE,79.23,8.1222,-63.5497,78,97,3.06,2022-09-18 02:03:06
261,Zhigansk,RU,34.74,66.7697,123.3711,77,100,9.86,2022-09-18 02:03:06
262,Necochea,AR,60.24,-38.5473,-58.7368,66,100,11.5,2022-09-18 02:03:07
263,Hinton,CA,47.84,53.4001,-117.5857,61,83,3.71,2022-09-18 02:00:36
264,Kawalu,ID,75.76,-7.3817,108.2082,85,100,3.44,2022-09-18 02:03:07
265,Atripalda,IT,59.88,40.9158,14.8246,63,7,5.3,2022-09-18 02:03:08
266,Creston,US,70.34,41.0586,-94.3614,94,75,13.8,2022-09-18 02:00:36
267,Nyurba,RU,34.7,63.2842,118.3319,61,95,12.15,2022-09-18 02:03:08
268,Ormara,PK,80.85,25.2088,64.6357,79,69,2.62,2022-09-18 02:03:09
269,Umuahia,NG,71.33,5.5263,7.4896,98,100,4.32,2022-09-18 02:03:09
270,Ola,RU,57.15,59.5833,151.2833,46,10,6.78,2022-09-18 02:03:09
271,Hailar,CN,44.83,49.2,119.7,71,100,20.56,2022-09-18 02:03:10
272,Sola,VU,80.51,-13.8833,167.55,79,97,21.88,2022-09-18 02:03:10
