City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
634,Portales,US,34.1862,-103.3344,65.73,83,0,6.78,clear sky,09-18-2022 12:20:24
635,Campana,AR,-34.1687,-58.9591,65.05,75,100,9.28,overcast clouds,09-18-2022 12:24:38
636,Ilebo,CD,-4.3167,20.5833,72.03,91,100,4.23,light rain,09-18-2022 12:24:38
637,Krasnoselkup,RU,65.7,82.4667,53.28,58,86,9.86,overcast clouds,09-18-2022 12:24:39
638,Caxito,AO,-8.5785,13.6643,88.05,46,100,3.18,overcast clouds,09-18-2022 12:24:39
639,Inirida,CO,3.8653,-67.9239,75.24,92,54,0.58,broken clouds,09-18-2022 12:24:40
640,Emba,KZ,48.8264,58.1442,77.38,30,71,5.53,broken clouds,09-18-2022 12:24:40
641,Manhattan,US,40.7834,-73.9662,70.66,82,0,11.5,clear sky,09-18-2022 12:23:54
642,Moindou,NC,-21.6924,165.677,73.56,74,21,3.27,few clouds,09-18-2022 12:24:41
643,Price,US,39.5994,-110.8107,49.26,87,0,6.91,clear sky,09-18-2022 12:24:41
644,Seondha,IN,26.1578,78.7797,88.09,58,60,6.04,broken clouds,09-18-2022 12:24:42
645,Lasa,IT,46.6166,10.7002,63.7,43,24,6.02,few clouds,09-18-2022 12:24:42
646,Itamaraju,BR,-17.0392,-39.5311,67.24,78,100,5.12,overcast clouds,09-18-2022 12:24:42
647,Nhulunbuy,AU,-12.2333,136.7667,81.21,78,94,6.91,overcast clouds,09-18-2022 12:24:43
648,Disna,BY,55.568,28.1971,60.1,55,100,3.49,overcast clouds,09-18-2022 12:24:43
649,Porto Santo,PT,33.072,-16.3415,75.58,73,40,10.36,scattered clouds,09-18-2022 12:24:43
650,Alice Springs,AU,-23.7,133.8833,65.75,30,1,6.91,clear sky,09-18-2022 12:24:44
651,Tazovskiy,RU,67.4667,78.7,51.66,65,49,9.19,scattered clouds,09-18-2022 12:24:45
652,Louis Trichardt,ZA,-23.0439,29.9032,88.52,12,0,8.41,clear sky,09-18-2022 12:24:45
653,Mizdah,LY,31.4451,12.9801,97.38,13,6,7.81,clear sky,09-18-2022 12:24:45
654,Mbandaka,CD,0.0487,18.2603,79.79,75,91,4.18,moderate rain,09-18-2022 12:24:46
655,Jumla,NP,29.2747,82.1838,63.97,93,88,2.75,overcast clouds,09-18-2022 12:24:46
656,Sal Rei,CV,16.1833,-22.9167,84.4,61,40,17.27,scattered clouds,09-18-2022 12:24:46
657,Itaituba,BR,-4.2761,-55.9836,84.36,79,50,8.05,scattered clouds,09-18-2022 12:24:47
658,Goderich,CA,43.7501,-81.7165,70.92,83,93,13.8,overcast clouds,09-18-2022 12:24:47
659,Cairns,AU,-16.9167,145.7667,78.75,83,40,1.14,light rain,09-18-2022 12:21:26
660,Adrar,MR,20.5022,-10.0711,89.55,24,57,9.42,broken clouds,09-18-2022 12:24:48
661,Dzilam Gonzalez,MX,21.2833,-88.9333,73.29,98,20,3.56,few clouds,09-18-2022 12:24:48
662,Oxapampa,PE,-10.5775,-75.4017,59.07,87,3,2.13,clear sky,09-18-2022 12:24:48
663,Jackson,US,42.4165,-122.8345,55.27,93,100,0.0,overcast clouds,09-18-2022 12:22:30
664,Valle De Banderas,MX,20.8,-105.2333,77.61,100,75,4.61,broken clouds,09-18-2022 12:24:49
665,Maragogi,BR,-9.0122,-35.2225,79.68,71,48,9.24,scattered clouds,09-18-2022 12:24:49
666,Atbasar,KZ,51.8,68.3333,68.47,21,7,6.49,clear sky,09-18-2022 12:24:50
667,Rock Sound,BS,24.9,-76.2,83.39,72,64,13.8,broken clouds,09-18-2022 12:24:50
668,Tessalit,ML,20.1986,1.0114,101.62,21,46,10.22,scattered clouds,09-18-2022 12:24:51
669,Coahuayana,MX,18.7333,-103.6833,73.98,95,100,4.25,overcast clouds,09-18-2022 12:24:51
670,Bafra,TR,41.5678,35.9069,90.3,47,0,17.81,clear sky,09-18-2022 12:24:51
671,Mitsamiouli,KM,-11.3847,43.2844,80.89,69,75,3.44,light rain,09-18-2022 12:24:52
672,Berlevag,NO,70.8578,29.0864,46.35,93,75,17.27,light rain,09-18-2022 12:24:52
673,Bolotnoye,RU,55.6717,84.3981,53.22,55,15,5.23,few clouds,09-18-2022 12:24:52
674,Muvattupula,IN,9.9667,76.5833,84.78,85,100,3.56,light rain,09-18-2022 12:23:29
675,Cootamundra,AU,-34.65,148.0333,44.74,93,85,5.55,overcast clouds,09-18-2022 12:24:07
676,Vredendal,ZA,-31.6683,18.5012,63.27,39,99,14.74,overcast clouds,09-18-2022 12:24:53
677,Chase,CA,50.8165,-119.6857,42.33,79,74,2.19,broken clouds,09-18-2022 12:24:53
678,Fort William,GB,56.8165,-5.1121,60.31,80,97,3.62,overcast clouds,09-18-2022 12:24:54
679,Trairi,BR,-3.2778,-39.2689,85.01,59,43,14.18,scattered clouds,09-18-2022 12:24:54
680,Niquero,CU,20.0431,-77.5828,78.89,83,36,6.15,scattered clouds,09-18-2022 12:24:55
